Year,Pay-out,Dividends,Shares,Amount,Buying Power
1,1,115.23,200,8520.0,3595.23
1,2,288.08,500,21300.0,3103.32
1,3,460.93,800,34080.0,2784.25
1,4,633.78,1100,46860.0,2638.03
2,1,806.63,1400,59640.0,2664.66
2,2,979.48,1700,72420.0,2864.14
2,3,1152.33,2000,85200.0,3236.47
2,4,1325.18,2300,97980.0,3781.65
3,1,1498.03,2600,110760.0,4499.68
3,2,1670.88,2900,123540.0,5390.56
3,3,1901.34,3300,140580.0,2251.9
3,4,2074.19,3600,153360.0,3546.1
4,1,2247.04,3900,166140.0,5013.14
4,2,2419.89,4200,178920.0,6653.03
4,3,2650.36,4600,195960.0,4263.39
4,4,2823.21,4900,208740.0,6306.6
5,1,3053.67,5300,225780.0,4320.27
5,2,3226.52,5600,238560.0,6766.8
5,3,3456.99,6000,255600.0,5183.79
5,4,3687.46,6400,272640.0,3831.24
